FundingSource,ID,Crop_ICP_Run,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As_Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Cd_Tot_Aqu,Co_CaCl,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_CaCl,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_CaCl,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CaCl,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CaCl,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_CaCl,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_CaCl,Mo_Sol_Ca,Mo_Tot_Aqu,N_tot,Na_CaCl,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni_CaCl,Ni_DTPA,Ni_Sol_Ca,Ni_Tot_Aqu,NOPC,P_CaCl,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_CaCl,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_CaCl,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti_Tot_Aqu,U_Sol_Ca,Zn_CaCl,Zn_DTPA,Zn_E,Zn_FIA,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
GCRF,ETH0424,1,10.7955490186681,38.0900147687618,2603.06389,4,15/12/2017,15/12/2017,Teff,Field stack,Main,NA,43.53591,0.00595,NA,18.21741,NA,1356.49119,NA,0.09354,NA,0.00127,4.93797,85.45891,4858.04627,NA,2180.82235,137.18920,8.74999,2.54250,4485.29635,NA,3.97810,1839.31470,0.02885,5.54979,NA,NA,0.12698,23.62155,4201.44850,0.11985,75979.20276,4.33305,14.25895,0.00000,1.87700,1.87700,21.19265,5351.73107,NA,0.00136,0.48491,0.12853,NA,0.00411,61.47109,193.22528,0.02130,NA,0.01274,74.53529,38.31900,0.18691,NA,11685.95564,0.03332,108141.37508,74.78934,0.51665,73.28949,3996.41011,651.09715,12.62489,469.16060,8448.14262,21.16142,NA,1734.11868,5.85730,2256.60711,0.00004,0.00007,0.06063,0.16850,16.13849,0.05559,7.61000,108.14165,0.62575,NA,0.52177,129.92355,22.88000,0.23935,10.26000,219.26211,0.02800,751.28831,NA,0.00035,13.82444,375.27383,5.19,6.15,13.43680,4.03958,70.67132,3.81849,143.08394,5.44338,0.00035,408.10158,1.58942,0.36881,1279.17932,0.00002,0.10313,0.60139,2.43186,0.00000,2.64916,0.04462,125.45479
GCRF,ETH0425,1,10.8350367444558,38.1591125844473,2487.04740,4,15/12/2017,15/12/2017,Maize,Field stack,Main,NA,7.69089,NA,NA,0.14054,NA,53.97415,NA,0.00838,NA,NA,1.38118,26.18302,3189.93660,NA,1026.06945,3.47407,7.02492,NA,2657.93813,NA,4.19791,827.00167,0.02783,0.38602,NA,NA,0.02897,16.24073,3307.48802,0.01410,77563.25822,2.99453,5.64687,0.00000,1.29900,1.29900,27.59070,8284.14239,NA,0.00018,0.49148,0.01776,NA,0.00051,65.97947,24.17827,0.00697,NA,0.00762,46.48262,42.81086,0.06294,NA,14222.82939,0.00651,136097.83746,32.21774,0.24146,31.44733,1805.05702,550.04087,11.12478,406.59790,10544.37394,4.59252,NA,1862.12472,0.17760,2680.25789,0.00011,0.00012,0.03006,0.11020,22.00712,0.10964,17.91642,326.81997,0.01413,NA,0.01629,29.29135,8.71500,0.17212,10.80000,380.25782,0.03953,473.12520,NA,0.00015,6.31912,219.13109,5.87,6.92,NA,2.56377,30.45091,2.53397,45.78942,3.67885,0.00043,279.61589,1.37421,0.26597,2872.73474,0.00000,0.01517,0.40811,6.02270,0.00000,3.49812,0.01470,95.44631
GCRF,ETH0426,1,10.8815543010892,38.2435330874232,2661.75880,4,16/12/2017,16/12/2017,Teff,Field stack,Main,NA,6.36235,NA,NA,16.30561,NA,1614.27933,NA,0.02663,NA,NA,3.87403,30.83827,4426.00346,NA,1945.15294,55.36696,15.78054,NA,4236.26061,NA,2.72984,1434.02434,0.06374,8.90378,NA,NA,0.01582,18.10993,3364.59586,0.01222,75291.65269,8.68484,9.82835,0.02770,1.42930,1.45700,30.90337,9698.91339,NA,0.00006,0.70415,0.00615,NA,0.00040,47.90649,67.45414,0.01181,NA,0.00732,31.46418,41.85047,0.06321,NA,13989.30014,0.00445,101931.08552,54.22795,0.43052,48.65601,3964.36294,335.61973,7.03477,246.88643,7096.14697,1.61836,NA,3158.06610,0.00653,3712.07141,0.00027,0.00022,0.04765,0.12090,20.18001,0.09388,15.26490,213.61556,0.03677,NA,0.02142,77.37428,9.44000,0.14751,17.54000,456.91342,0.06212,1276.34841,NA,0.00011,15.78900,330.85767,6.27,7.23,NA,3.07960,42.96171,3.74874,80.69681,3.64114,0.00066,211.80528,1.50264,0.40103,2136.87029,0.00001,0.01255,0.62990,22.61371,0.00000,4.12148,0.01258,120.50856
GCRF,ETH0427,1,10.8645165796892,38.3711460696077,2439.98435,4,16/12/2017,16/12/2017,Teff,Field stack,Close pair,NA,36.38871,0.00487,NA,9.90101,NA,1404.47590,NA,0.08042,NA,0.00240,5.09631,56.07381,4680.32453,NA,1969.19964,45.17766,13.52563,0.60582,4231.34563,NA,2.59713,1624.74480,0.02016,4.80289,NA,NA,0.08777,24.75143,3103.61433,0.01302,76512.00296,5.32830,6.93145,0.00840,0.56850,0.57690,33.35183,8777.73509,NA,0.00012,0.41375,0.01315,NA,0.00018,37.88146,100.36723,0.00952,NA,0.00802,46.80665,48.62104,0.81733,NA,4614.91050,0.00380,81013.73028,60.96212,0.54424,61.43124,3782.12176,468.25334,10.86226,331.44846,7871.92000,3.38145,NA,1268.27164,0.01404,1556.16950,0.00019,0.00029,0.02465,0.06220,16.53504,0.07315,11.57036,153.87923,0.20303,NA,0.07019,98.06062,8.73500,0.13281,9.25000,97.10551,0.03757,291.13060,NA,0.00014,14.77892,195.11665,5.97,7.10,NA,3.73290,NA,3.87494,16.41803,3.40659,0.00019,107.96620,1.26283,0.25197,787.56734,0.00003,0.01924,0.37744,7.41637,0.00000,3.66019,0.01189,98.58281
GCRF,ETH0428,1,10.8638767154121,38.3731766749376,2432.84968,4,16/12/2017,16/12/2017,Teff,Field stack,Close pair,NA,10.52506,NA,NA,10.38552,NA,1588.92451,NA,0.08046,NA,NA,5.05383,41.15224,4552.57394,NA,1914.87777,41.54130,14.84557,NA,3826.61587,NA,3.25588,1810.73904,0.03980,4.90239,0.00089,NA,0.02401,25.40645,3274.87737,0.01943,76842.09689,6.42783,4.73954,0.01550,0.91510,0.93060,36.72540,10168.83248,NA,0.00006,0.31205,0.00786,NA,0.00032,42.43948,100.12282,0.01293,NA,0.00978,50.56182,48.79954,0.04000,NA,5000.52876,0.00721,82928.44626,66.01158,0.50561,58.98848,4590.69056,354.08161,8.12606,250.36975,7971.49139,1.09554,NA,1567.10440,0.00288,1900.08758,0.00092,0.00056,0.03009,0.08850,13.50058,0.05791,8.19486,155.43602,0.05417,NA,0.02992,98.71925,9.31500,0.15137,11.18000,92.17330,0.05072,399.23061,NA,0.00014,17.08933,210.61732,6.35,7.53,NA,4.23638,19.42376,5.43381,45.25596,4.55027,0.00059,110.53675,1.55304,0.25261,818.05040,0.00007,0.01928,0.43708,17.08465,0.00000,4.09406,0.00975,290.68487
GCRF,ETH0429,1,10.8333376765596,38.3930283771648,2392.51830,4,16/12/2017,16/12/2017,Teff,Field stack,Main,NA,22.59099,0.00585,NA,15.01926,NA,1503.34559,NA,0.04407,NA,0.00247,6.15802,56.54741,3718.67282,NA,1717.89551,29.81010,16.95123,1.45318,3214.16996,NA,2.60112,1796.13506,0.01054,4.49326,NA,NA,0.05576,27.75715,2947.64133,0.01402,73181.38233,5.36031,6.81987,0.00000,0.59100,0.59100,31.29705,8001.70764,NA,0.00014,0.43019,0.03801,NA,0.00031,39.00669,104.13445,0.01885,NA,0.00979,48.22778,48.79548,0.17307,NA,4751.50428,0.00647,76668.24591,71.43859,0.56873,62.26381,3571.25168,576.94873,13.10068,396.21318,8219.66534,5.06627,NA,1205.64592,0.02661,1504.11294,0.00407,0.00039,0.04632,0.06270,18.31714,0.08574,13.35593,153.52035,0.26299,NA,0.09269,94.96071,19.50500,0.48348,14.70000,16.67139,0.03167,238.88658,NA,0.00015,14.91720,184.06949,5.90,6.92,3.79198,6.78691,NA,5.58937,18.23356,3.67661,0.00391,111.02599,1.26640,0.24467,775.01961,0.00004,0.01849,0.51503,5.27816,0.00000,3.47973,0.01290,91.09096
GCRF,ETH0431,1,10.9233939900969,38.1469595460513,2650.20928,4,16/12/2017,16/12/2017,Teff,Field stack,Main,NA,24.24090,0.00488,NA,24.31821,NA,1565.66813,NA,0.09438,1.49975,0.00113,6.38792,62.64815,4363.48068,NA,2183.95564,200.26921,8.96847,1.96112,4750.41296,NA,3.03362,1602.15264,0.02383,8.06469,NA,NA,0.05947,29.04646,4984.42480,0.03495,74178.14984,8.28010,11.67183,0.00000,2.09100,2.09100,10.55226,3119.20774,NA,0.00034,0.56699,0.08293,NA,0.00183,53.48660,155.50788,0.01710,NA,0.01297,54.42495,19.23524,0.09263,NA,14855.31058,0.00865,105291.37184,255.61394,1.24802,285.81443,6069.02360,309.74021,3.95286,243.78415,5194.19234,28.66141,NA,1977.62135,0.08594,2504.52929,0.00060,0.00014,0.52487,0.19110,17.33154,0.09554,16.01986,152.09358,0.09636,NA,0.04412,104.94882,11.80500,0.81601,35.18000,738.97770,0.31792,2052.57233,NA,0.00024,18.50202,412.00602,5.58,6.29,12.60250,6.87073,99.15629,8.78419,211.86493,7.74289,0.00194,511.75449,2.34288,0.55843,2678.55663,0.00004,0.06894,1.41504,6.37693,0.00000,3.23677,0.03001,120.47865
GCRF,ETH0432,1,10.9387506900746,38.0588871969713,2532.21225,4,16/12/2017,16/12/2017,Teff,Field stack,Main,NA,30.19536,0.00402,NA,18.85415,NA,1366.79450,NA,0.06372,NA,0.00127,4.58749,58.92901,3463.67558,NA,1760.08375,130.40645,8.66593,1.54039,3378.97934,NA,6.58451,1376.09856,NA,8.40623,NA,NA,0.06879,18.01904,2992.50426,0.14506,77519.29576,5.54689,12.90617,0.00000,1.62600,1.62600,13.15197,3017.29077,NA,0.00322,0.44779,0.16246,NA,0.05007,46.97721,100.20057,0.01466,NA,0.00885,43.52034,22.40991,0.19810,NA,11363.98817,0.00457,104554.18187,33.65285,0.19813,32.52652,3229.07946,382.74852,5.66894,293.37889,4086.36514,44.26772,NA,1983.01585,41.79070,2605.48676,0.00152,0.00004,0.23672,0.15060,12.63131,0.05272,6.46506,114.72059,0.44690,NA,0.41354,89.17111,23.18000,0.36006,8.00000,133.18881,0.02158,954.01202,NA,0.00018,17.63142,356.55589,5.06,5.80,9.07357,3.31278,53.41656,3.25469,130.37139,2.33044,0.00160,166.84174,1.20643,0.28648,2013.14300,0.00003,0.22422,1.09701,3.56846,0.00000,2.23247,0.17139,113.56516
GCRF,ETH0433,1,10.9733297516658,37.9755139715521,2502.40220,3,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,20.54741,NA,NA,19.62239,NA,1272.82748,NA,0.02974,NA,NA,4.02798,43.97367,4287.19602,NA,1890.66445,159.03710,8.56761,2.98645,4064.71021,NA,2.17930,1456.35810,NA,5.82932,NA,NA,0.05603,19.78137,2873.37330,0.15489,79556.04926,11.92003,15.22494,0.00000,1.42900,1.42900,11.36280,2600.28680,NA,0.00542,0.69620,0.23919,NA,0.05399,80.25890,124.22528,0.01923,NA,0.01352,61.51180,18.68540,0.10016,NA,14093.00412,0.01558,106766.44523,100.94197,0.63816,115.24792,4520.50113,298.54423,4.05318,235.46205,2901.33869,50.18763,NA,2782.62614,39.29652,3360.07013,0.00026,0.00008,0.55304,0.15570,9.60370,0.04421,6.23553,151.55827,1.11644,NA,1.02149,119.40477,10.25500,0.42215,55.74000,643.12129,0.14147,1403.44379,NA,0.00022,23.81598,370.97370,5.02,5.72,5.50980,2.93568,47.69427,3.67530,144.17154,2.27091,NA,131.59992,1.39831,0.24620,1550.30212,0.00004,0.26712,1.26867,4.26241,0.00000,2.24062,0.19668,119.01170
GCRF,ETH0434,1,10.9485724129171,37.9253604810977,2543.82980,4,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,16.63741,0.00535,NA,85.04237,NA,1355.41154,NA,0.03691,4.23837,0.00536,4.69932,41.90954,3443.60388,NA,1795.74710,170.58995,8.29562,2.36921,3356.49529,NA,3.94169,1580.48773,NA,7.70790,NA,NA,0.07564,19.10001,3266.26635,0.81457,85790.32937,7.15729,26.58034,0.00000,1.28500,1.28500,9.36479,1957.85313,NA,0.00543,0.56162,0.48648,NA,0.43402,63.63169,119.87227,0.02359,NA,0.01604,57.54840,16.58585,0.11992,NA,7788.41683,0.01092,115815.56067,43.28997,0.31272,47.50539,3501.74640,285.16223,3.65282,213.96139,2686.56439,60.72359,NA,1764.18158,69.56196,2353.82766,0.00023,0.00004,0.06065,0.12880,9.84397,0.04659,5.61075,128.98697,0.71198,NA,0.64837,114.03549,11.48500,0.24881,5.74000,26.23680,0.00275,487.18367,NA,0.00033,17.12805,488.09857,4.69,5.28,28.62235,3.16301,28.85165,2.24174,124.76460,2.50884,0.00055,161.99309,1.14370,0.18307,1396.17016,0.00005,0.20115,0.29951,1.38117,0.00000,1.76668,0.16760,84.88743
GCRF,ETH0435,1,11.0182822937463,37.9235114615743,2483.84680,4,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,72.48705,0.00785,NA,23.91151,NA,1313.74045,NA,0.07237,NA,0.00345,6.14402,107.17475,3983.76480,NA,2179.82491,194.77883,8.91538,4.39965,4422.09797,0.02902,6.62982,1760.19851,0.01020,5.04648,NA,NA,0.16820,24.17259,3887.87765,0.99691,71391.38049,8.49414,13.87218,0.00000,1.91400,1.91400,16.50827,3789.88927,NA,0.01169,0.51163,0.63204,NA,0.70355,48.21400,121.57122,0.04348,NA,0.02077,52.66401,27.70305,0.14003,NA,11449.14093,0.01260,89674.39817,119.24923,0.40611,65.38239,4064.11843,403.52190,6.73083,292.45120,3990.72033,61.63711,NA,1483.17056,73.85637,1808.80620,0.00028,0.00005,0.36612,0.18250,10.89343,0.05143,6.91975,112.56542,1.81178,NA,1.32043,86.86687,21.26500,0.37089,18.86000,250.82364,0.07434,793.78520,NA,0.00038,19.13154,416.66187,4.64,5.31,18.66636,5.05853,33.37799,4.28591,179.00366,4.89972,0.00143,271.53142,1.75507,0.41913,1174.28296,0.00010,0.35904,0.52279,2.49624,0.00000,1.81226,0.27954,87.64952
GCRF,ETH0436,1,10.8258029215996,37.8068584718408,3075.63238,4,17/12/2017,17/12/2017,Triticale,Field stack,Main,NA,12.67688,NA,NA,5.36360,NA,356.70866,NA,0.03465,NA,0.00669,5.22684,29.17562,5097.85153,NA,1050.67239,42.15352,8.88764,NA,2827.00993,NA,11.99066,1276.56568,NA,2.74872,NA,NA,0.03101,15.78179,11115.28435,9.51532,86147.73679,3.27088,34.59578,0.00000,4.92100,4.92100,5.74155,1790.28248,NA,0.01047,0.65349,0.25069,NA,0.55303,60.75573,135.85300,0.03034,NA,0.01774,59.12423,14.00572,0.24250,NA,25006.12698,0.03183,114164.84710,83.32961,0.14014,38.60896,2169.55226,144.82514,1.53780,115.65501,6058.51198,27.74632,NA,1712.80980,51.09728,2348.14518,0.00038,0.00005,0.10267,0.47110,15.13510,0.07279,10.44617,126.90257,0.11426,NA,0.09298,140.67210,27.35000,0.69765,7.82000,769.68072,0.08634,1060.78823,NA,0.00029,11.68087,1064.42233,4.48,5.13,33.96136,3.02807,177.33074,0.77195,436.43958,9.49003,0.00318,555.14955,3.17826,0.41541,4357.51318,0.00015,0.17457,0.13657,1.59320,0.00000,1.81058,0.17243,119.93442
GCRF,ETH0437,2,10.8931242423952,37.8021637638536,2593.15055,4,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,113.49536,0.01583,NA,27.08472,NA,1593.35464,NA,0.09118,NA,0.00591,6.28781,151.96549,3853.01192,0.04846,1495.70872,108.57719,0.03428,2.16654,2390.35248,NA,4.58527,1838.06573,0.01797,7.64872,0.00077,NA,0.30737,20.02063,4803.65521,0.43031,81028.79541,5.64707,16.02730,0.00000,3.89700,3.89700,10.74003,2631.25198,NA,0.00296,0.52911,0.29270,NA,0.02060,56.72401,119.50925,0.02036,NA,0.01141,53.36334,18.71392,0.16118,NA,12428.06706,0.00817,116805.89264,71.00591,0.36739,81.74215,3310.84355,278.72648,3.37480,210.85297,3046.91139,67.72251,NA,1694.06976,20.88121,2253.36896,0.00024,0.00004,0.39867,0.34140,9.05836,0.03956,5.04969,117.75199,0.27474,NA,0.18790,98.47941,25.99000,0.48931,2.68000,77.66464,0.03201,771.20927,NA,0.00019,16.97629,295.90129,4.85,5.48,19.34748,3.87967,101.12592,5.59714,379.43934,5.72440,0.00087,318.37688,2.43188,0.36392,2776.24529,0.00004,0.18508,0.98694,3.12298,0.00000,2.28851,0.12487,176.74194
GCRF,ETH0438,1,10.9246076335907,37.8069648475825,2486.68432,4,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,86.64173,0.00861,NA,25.02009,NA,1290.66946,NA,0.08679,NA,0.00329,4.89818,113.44706,3525.11984,NA,1981.22296,192.36693,11.50813,3.00242,3888.40213,NA,5.36960,1524.90272,0.01022,6.29228,NA,NA,0.22090,21.68453,3711.76178,0.99421,81947.06387,5.94591,29.02034,0.00000,1.52900,1.52900,9.25006,2075.17514,NA,0.00835,0.61169,0.48581,NA,0.34960,68.85998,103.45019,0.02710,NA,0.01403,53.04943,17.88686,0.14767,NA,10893.20142,0.01850,117516.87667,60.31735,0.22363,46.39954,2968.81445,303.25421,3.98916,228.12160,3185.39435,74.90771,NA,2358.67478,78.50156,3067.36371,0.00211,0.00004,0.06401,0.14190,11.17652,0.04801,5.95687,123.96321,0.71234,NA,0.56354,90.45478,18.50000,0.39244,7.24000,84.52066,0.01326,605.21808,NA,0.00022,18.42028,403.79725,4.67,5.28,25.05997,3.93871,41.61623,2.12162,146.59339,3.27743,0.00294,221.12760,1.43812,0.22904,2196.02937,0.00006,0.37351,0.63581,2.42252,0.00000,1.74459,0.30392,100.10847
GCRF,ETH0439,1,10.9911759149863,37.8509539477448,2446.89587,4,17/12/2017,17/12/2017,Teff,Field stack,Main,NA,37.25385,0.00573,NA,21.08200,NA,1359.09697,NA,0.05263,1.92517,0.00173,4.44525,72.69975,4491.54276,NA,1861.32934,196.29809,12.57416,2.31953,3956.27056,NA,3.18114,1470.04202,0.01999,4.48050,NA,NA,0.10075,18.88064,3552.61667,0.17342,74032.30734,7.22280,10.33291,0.00000,1.45200,1.45200,24.66820,5752.61473,NA,0.00496,0.43863,0.26971,NA,0.10120,54.55492,121.08406,0.02835,NA,0.01333,43.55806,38.04283,0.27133,NA,9223.37342,0.01358,89278.63366,110.71292,0.57546,79.26585,4083.11056,423.34750,8.46357,301.52643,4583.36363,33.69958,NA,1959.46090,30.52222,2265.19923,0.00136,0.00004,0.09845,0.13150,15.90629,0.07028,10.62328,132.81333,1.10655,NA,0.88383,89.29097,21.22000,0.41862,16.34000,264.39672,0.06039,492.82425,NA,0.00019,18.14778,319.27105,4.99,5.83,4.05426,4.06329,32.16974,4.38897,93.67345,4.23654,0.00111,267.40852,1.87442,0.33643,775.23858,0.00004,0.66637,2.71334,7.89150,0.00000,2.16685,0.41295,89.02448
GCRF,ETH0440,1,11.1221317241984,37.7347996888750,1824.07690,4,18/12/2017,18/12/2017,Teff,Field stack,Main,NA,180.12498,0.00995,NA,7.85071,NA,1380.04824,NA,0.18952,NA,0.00199,4.87974,238.45830,3842.18678,NA,1651.81474,53.99315,14.58263,0.86074,3537.02300,0.09160,1.17461,1377.49570,0.03338,6.35258,NA,NA,0.70217,23.92843,3137.11218,0.04468,75864.70431,0.08103,2.53193,0.01360,1.18540,1.19900,34.65747,10784.46763,NA,0.00005,0.59137,0.02789,NA,0.00032,57.00061,82.98399,0.02499,NA,0.01193,106.85571,49.45054,1.33761,NA,5533.64214,0.02739,109127.48930,80.56338,0.59062,80.12866,2642.32676,495.18007,11.44474,354.66815,9393.33647,2.64274,NA,1759.66947,0.00508,2127.99584,0.00044,0.00011,NA,0.07790,21.17567,0.08464,12.99922,300.35341,0.05077,NA,0.02131,76.95706,21.81000,0.29381,10.24000,92.65890,0.06095,150.56300,NA,0.00013,6.26590,196.73354,6.43,7.31,NA,4.16665,19.16412,5.16195,20.22121,2.14784,0.00048,142.11240,1.84404,0.21968,1227.55816,0.00001,0.03079,0.58279,18.03731,0.00000,4.09874,0.01016,110.28555
GCRF,ETH0441,1,11.0534020580620,37.8547580986302,2423.92208,4,18/12/2017,18/12/2017,Teff,Field stack,Main,NA,11.40577,NA,NA,20.07667,NA,1241.63517,NA,0.09898,NA,NA,4.05569,39.89277,4411.21663,NA,2021.89371,239.06402,13.40123,2.91515,4335.22989,NA,6.25320,1443.10226,0.01790,4.42841,NA,NA,0.03050,17.26911,3964.04659,0.23745,72692.49739,10.29787,13.31238,0.00000,1.80200,1.80200,17.33706,4007.04088,NA,0.00460,0.54704,0.31243,NA,0.13834,49.61057,117.76984,0.02923,NA,0.01494,49.49739,29.10315,0.11240,NA,12816.23924,0.01236,91797.84673,88.65138,0.43024,70.65993,4245.58904,417.47675,7.23055,316.88791,4119.64182,54.43153,NA,1698.33703,45.43768,2008.56223,0.00020,0.00004,0.29141,0.16770,20.94303,0.09342,16.06538,132.24112,1.17206,NA,0.95998,89.35777,20.24500,0.26104,8.42000,158.36169,0.01696,529.36503,NA,0.00027,19.25064,360.79249,4.89,5.66,9.93172,7.01246,98.60859,8.72624,149.83921,3.30173,0.00102,317.17135,2.18691,0.38447,1189.47890,0.00004,0.16626,0.56038,1.96210,0.00000,2.13467,0.11120,80.14199
GCRF,ETH0442,1,11.1137770621473,37.8232810399876,2197.78878,4,18/12/2017,18/12/2017,Teff,Field stack,Main,NA,47.55299,NA,NA,13.44007,NA,1016.87492,NA,0.06872,NA,0.00081,3.82944,63.56308,3933.12993,NA,1749.22737,71.84817,14.48008,1.18165,3560.33351,NA,1.52019,1327.93633,0.01389,5.59446,NA,NA,0.11576,19.84978,3376.03287,0.08887,85353.63651,6.72222,16.30856,0.00000,1.77700,1.77700,15.24822,3651.75922,NA,0.00216,0.43727,0.21179,NA,0.01342,54.72725,128.36083,0.01693,NA,0.01049,71.66364,25.73122,0.09851,NA,8468.18309,0.01243,111935.91549,158.80381,0.97852,167.54525,3598.00912,422.59888,6.52060,310.89185,3958.30834,39.46267,NA,1513.39183,13.88412,2010.88668,0.00011,0.00007,0.11139,0.15720,9.43091,0.04101,4.80511,120.27160,0.33514,NA,0.20628,93.99763,19.21000,0.49132,45.80000,465.62538,0.23611,992.03451,NA,0.00016,11.64352,286.31451,5.11,5.84,3.66972,3.94685,97.39322,5.44114,144.09104,3.40646,0.00074,344.30355,1.68430,0.34415,1963.14671,0.00001,0.60644,1.54220,4.77199,0.00000,2.57795,0.09991,99.47073
GCRF,ETH0443,1,11.1005579134977,37.9001399159295,2428.58931,4,18/12/2017,18/12/2017,Teff,Field stack,Main,NA,28.47882,0.00675,NA,21.81323,NA,1238.83110,0.02972,0.07565,2.08856,0.00231,8.49544,68.45124,4094.65806,NA,1981.58964,200.85085,43.50228,3.54121,3989.62887,0.11571,8.59274,1647.41688,0.02998,6.21636,NA,NA,0.07309,22.62590,2743.13286,0.54719,64331.69219,9.32808,11.25649,0.00000,1.79500,1.79500,10.80287,2445.94010,NA,0.00643,0.56007,0.32318,NA,0.16428,36.77568,142.52571,0.02987,NA,0.01547,54.07151,18.22593,0.41570,NA,8684.09906,0.00842,102428.30371,49.06955,0.25550,49.12654,3531.72340,344.48297,4.89344,261.17749,3079.02036,48.24017,NA,1182.42493,38.46975,1512.37954,0.00013,0.00005,0.56185,0.15960,12.94937,0.05548,7.78177,105.69249,0.82369,NA,0.66102,81.10254,21.48000,0.36682,10.36000,114.12768,0.01309,627.79812,NA,0.00046,19.30437,294.79711,4.71,5.40,10.61632,2.84282,80.50008,5.36863,149.15331,3.88904,0.00088,315.28432,2.10893,0.42992,1405.75576,0.00007,0.25542,0.71895,2.04316,0.00000,1.90925,0.18854,78.55516
GCRF,ETH0444,1,11.0379211460606,37.7657833995263,2137.62328,4,18/12/2017,18/12/2017,Maize,Field stack,Main,NA,NA,NA,NA,0.23969,NA,33.38037,NA,0.04537,NA,NA,1.18514,15.81810,3463.83146,NA,958.38791,3.20431,7.36698,NA,2587.60482,NA,0.68217,851.97631,NA,0.26270,NA,NA,NA,17.49989,4596.81316,0.05203,86080.58870,3.89389,13.23605,0.00000,3.44700,3.44700,19.22219,4970.40066,NA,0.00015,0.65779,0.15006,NA,0.00296,69.78534,245.52750,0.01889,NA,0.01415,64.93273,33.25927,0.09198,NA,9364.65472,0.02678,125407.49114,261.30467,1.50994,243.28870,3901.37497,575.30940,10.26124,430.58236,9038.94440,15.90805,NA,809.66518,0.07946,1342.25578,0.00019,0.00015,0.02378,0.29160,7.46559,0.03292,3.70232,110.70906,0.11592,NA,0.05970,202.43371,21.05000,0.37779,8.68000,168.72623,0.07701,642.19870,NA,0.00014,6.27500,345.54517,5.68,6.46,4.13592,5.24405,214.43890,6.32608,286.72274,6.72797,0.00146,476.31571,2.01919,0.29278,2819.72223,0.00002,0.03971,1.47312,9.96277,0.00000,3.51451,0.02378,112.36898
GCRF,ETH0445,1,10.9065111989571,37.7404168509677,2606.76428,4,19/12/2017,19/12/2017,Maize,Field stack,Main,NA,NA,NA,NA,1.03596,NA,56.14788,NA,0.04381,NA,NA,1.43665,18.69786,3093.42261,NA,918.87518,4.04124,8.26235,0.82216,2239.93691,NA,2.89540,939.74703,NA,0.41666,NA,NA,NA,18.65979,4223.08580,0.20290,86157.14510,0.34715,29.24366,0.00000,1.17600,1.17600,22.64251,5172.40315,NA,0.00276,0.55947,0.09388,NA,0.02842,54.60329,24.94648,0.01190,NA,0.00786,45.36773,37.93655,0.13332,NA,11286.74650,0.00627,141198.81391,39.18648,0.27771,37.54613,1384.48903,544.60985,10.64585,400.55834,6478.64170,20.08539,NA,1559.54414,19.55962,2614.05750,0.00003,0.00004,NA,0.09780,10.63843,0.06950,6.87311,143.69587,0.05150,NA,0.04542,23.63009,17.35500,0.19594,16.98000,441.43215,0.01525,694.18550,NA,0.00012,7.90237,378.73999,5.10,5.94,1.76648,1.60098,45.50334,1.64791,42.59098,1.28255,NA,167.23926,0.82479,0.26412,3285.03619,0.00001,0.14596,0.70132,3.02461,0.00000,2.38149,0.10180,138.11856
